Pipe Size,Sch 40,Stainless
2,71.34,356.71
2.5,89.18,445.88
3,107.01,535.06
4,142.68,713.42
5,178.35,891.77
6,214.02,1150
8,285.4,1427
10,356.71,1783.54
12,428.05,2140.25
14,499.39,2496.95
16,570.73,2853.66
18,642.07,3210.37
20,713.42,3567.08
24,856.1,4280.49
30,1070.12,5350.62
